Date,Time,Place,Crowd_Count (in Thousands),Weather,Day_of_Week,Holiday,Event,Temperature (�C),Week_of_Year,Special_Features,Region,Transportation_Type
09-08-2024,06:51:00,"Taj Mahal, Agra",20000,Clear,Friday,No,Cultural Event,36,31,N/A,North,Private
10-08-2024,03:35:00,"Gateway of India, Mumbai",18758,Sunny,Saturday,No,Regular Day,24,31,N/A,South,Private
11-08-2024,07:07:00,"Gateway of India, Mumbai",31472,Rainy,Sunday,No,Festival,29,32,N/A,North,Walking
12-08-2024,14:58:00,"Red Fort, Delhi",7225,Cloudy,Monday,No,Regular Day,23,32,N/A,Central,Private
13-08-2024,13:34:00,"Taj Mahal, Agra",38142,Sunny,Tuesday,No,National Holiday,26,32,N/A,North,Private
14-08-2024,14:26:00,"Taj Mahal, Agra",32109,Cloudy,Wednesday,No,National Holiday,20,32,N/A,North,Walking
15-08-2024,13:28:00,"Red Fort, Delhi",23586,Rainy,Thursday,Yes,National Holiday,30,32,National Holiday,East,Public
16-08-2024,03:16:00,"Varanasi Ghats, Varanasi",24984,Rainy,Friday,No,National Holiday,31,32,N/A,East,Public
17-08-2024,00:17:00,"Qutub Minar, Delhi",11368,Rainy,Saturday,No,Regular Day,26,32,N/A,East,Public
18-08-2024,02:32:00,"Gateway of India, Mumbai",16257,Clear,Sunday,No,Cultural Event,27,33,N/A,East,Private
19-08-2024,04:23:00,"Mecca Masjid, Hyderabad",17030,Sunny,Monday,Yes,Festival,22,33,National Holiday,Central,Private
20-08-2024,21:33:00,"Taj Mahal, Agra",39808,Clear,Tuesday,No,National Holiday,26,33,N/A,East,Walking
21-08-2024,17:51:00,"Gateway of India, Mumbai",23370,Rainy,Wednesday,No,National Holiday,27,33,N/A,South,Private
22-08-2024,13:45:00,"Taj Mahal, Agra",38057,Sunny,Thursday,No,Festival,20,33,N/A,North,Private
23-08-2024,04:21:00,"India Gate, Delhi",34296,Cloudy,Friday,No,Festival,34,33,N/A,Central,Walking
24-08-2024,04:30:00,"India Gate, Delhi",37800,Sunny,Saturday,No,Festival,21,33,N/A,South,Public
25-08-2024,15:47:00,"Sanchi Stupa, Madhya Pradesh",6702,Clear,Sunday,No,Cultural Event,37,34,N/A,North,Walking
26-08-2024,00:24:00,"Sanchi Stupa, Madhya Pradesh",13154,Clear,Monday,Yes,National Holiday,20,34,National Holiday,West,Public
27-08-2024,16:00:00,"Taj Mahal, Agra",20000,Clear,Tuesday,No,Cultural Event,32,34,N/A,North,Public
28-08-2024,07:02:00,"Taj Mahal, Agra",18806,Sunny,Wednesday,No,Cultural Event,24,34,N/A,West,Private
29-08-2024,21:08:00,"Red Fort, Delhi",19320,Sunny,Thursday,No,Festival,32,34,N/A,West,Private
30-08-2024,19:57:00,"Qutub Minar, Delhi",27669,Clear,Friday,No,Festival,25,34,N/A,West,Private
31-08-2024,09:42:00,"Qutub Minar, Delhi",12021,Clear,Saturday,No,Regular Day,28,34,N/A,South,Private
01-09-2024,20:09:00,"Sanchi Stupa, Madhya Pradesh",13198,Clear,Sunday,No,National Holiday,28,35,N/A,Central,Private
02-09-2024,15:12:00,"Gateway of India, Mumbai",15000,Sunny,Monday,No,Regular Day,21,35,N/A,West,Private
03-09-2024,09:02:00,"India Gate, Delhi",27643,Rainy,Tuesday,No,Cultural Event,34,35,N/A,East,Public
04-09-2024,17:49:00,"Qutub Minar, Delhi",10000,Clear,Wednesday,No,Regular Day,29,35,N/A,Central,Walking
05-09-2024,05:09:00,"Gateway of India, Mumbai",12328,Clear,Thursday,No,Cultural Event,37,35,N/A,South,Public
06-09-2024,11:24:00,"Sanchi Stupa, Madhya Pradesh",10626,Rainy,Friday,No,Festival,38,35,N/A,Central,Walking
07-09-2024,12:17:00,"Sanchi Stupa, Madhya Pradesh",6646,Sunny,Saturday,Yes,Cultural Event,35,35,National Holiday,East,Walking
08-09-2024,23:04:00,"India Gate, Delhi",47402,Cloudy,Sunday,No,National Holiday,26,36,N/A,West,Private
09-09-2024,16:36:00,"Red Fort, Delhi",8000,Sunny,Monday,No,Cultural Event,23,36,N/A,North,Walking
10-09-2024,16:46:00,"Gateway of India, Mumbai",23308,Rainy,Tuesday,No,National Holiday,20,36,N/A,South,Public
11-09-2024,16:49:00,"Red Fort, Delhi",14548,Clear,Wednesday,No,Festival,38,36,N/A,North,Public
12-09-2024,02:47:00,"Red Fort, Delhi",27473,Clear,Thursday,No,Festival,38,36,N/A,North,Public
13-09-2024,00:52:00,"Qutub Minar, Delhi",10000,Sunny,Friday,No,Regular Day,36,36,N/A,West,Private
14-09-2024,04:40:00,"India Gate, Delhi",41821,Rainy,Saturday,No,National Holiday,29,36,N/A,East,Public
15-09-2024,20:45:00,"Qutub Minar, Delhi",25965,Cloudy,Sunday,Yes,Festival,33,37,National Holiday,South,Public
16-09-2024,18:08:00,"Varanasi Ghats, Varanasi",12555,Clear,Monday,Yes,Regular Day,28,37,National Holiday,North,Private
17-09-2024,06:39:00,"Taj Mahal, Agra",18661,Cloudy,Tuesday,No,Cultural Event,38,37,N/A,West,Private
18-09-2024,23:49:00,"India Gate, Delhi",30000,Sunny,Wednesday,No,Regular Day,38,37,N/A,East,Walking
19-09-2024,23:46:00,"Sanchi Stupa, Madhya Pradesh",972,Clear,Thursday,No,Regular Day,39,37,N/A,South,Private
20-09-2024,06:11:00,"Taj Mahal, Agra",27879,Sunny,Friday,No,National Holiday,39,37,N/A,North,Public
21-09-2024,13:12:00,"Mecca Masjid, Hyderabad",18147,Cloudy,Saturday,No,National Holiday,32,37,N/A,East,Public
22-09-2024,10:41:00,"Mecca Masjid, Hyderabad",13844,Cloudy,Sunday,No,Festival,38,38,N/A,West,Private
23-09-2024,13:38:00,"India Gate, Delhi",30000,Clear,Monday,No,Regular Day,31,38,N/A,East,Walking
24-09-2024,17:24:00,"Qutub Minar, Delhi",6339,Cloudy,Tuesday,No,Cultural Event,34,38,N/A,East,Walking
25-09-2024,16:16:00,"Qutub Minar, Delhi",26479,Clear,Wednesday,No,Festival,21,38,N/A,North,Public
26-09-2024,22:25:00,"Varanasi Ghats, Varanasi",5969,Cloudy,Thursday,No,Regular Day,29,38,N/A,East,Public
27-09-2024,14:44:00,"Taj Mahal, Agra",20000,Sunny,Friday,No,Cultural Event,33,38,N/A,West,Private
28-09-2024,02:08:00,"India Gate, Delhi",36693,Clear,Saturday,No,National Holiday,26,38,N/A,South,Walking
29-09-2024,08:05:00,"Taj Mahal, Agra",27390,Rainy,Sunday,No,National Holiday,38,39,N/A,South,Walking
30-09-2024,03:06:00,"Taj Mahal, Agra",27032,Rainy,Monday,No,Festival,36,39,N/A,North,Private
01-10-2024,13:53:00,"Qutub Minar, Delhi",22619,Cloudy,Tuesday,No,Festival,20,39,N/A,South,Walking
02-10-2024,05:16:00,"Gateway of India, Mumbai",28247,Rainy,Wednesday,Yes,Festival,24,39,National Holiday,North,Walking
03-10-2024,23:52:00,"Varanasi Ghats, Varanasi",8712,Rainy,Thursday,No,Regular Day,28,39,N/A,South,Private
04-10-2024,01:18:00,"Qutub Minar, Delhi",10000,Sunny,Friday,No,Cultural Event,28,39,N/A,West,Private
05-10-2024,22:29:00,"Mecca Masjid, Hyderabad",23647,Cloudy,Saturday,No,Festival,32,39,N/A,North,Public
06-10-2024,20:09:00,"Varanasi Ghats, Varanasi",22233,Clear,Sunday,No,Festival,28,40,N/A,East,Walking
07-10-2024,04:17:00,"Varanasi Ghats, Varanasi",24116,Clear,Monday,No,National Holiday,26,40,N/A,North,Public
08-10-2024,20:12:00,"Mecca Masjid, Hyderabad",11374,Sunny,Tuesday,No,Festival,25,40,N/A,Central,Walking
09-10-2024,04:07:00,"Red Fort, Delhi",13075,Clear,Wednesday,No,National Holiday,32,40,N/A,South,Public
10-10-2024,00:41:00,"Mecca Masjid, Hyderabad",14371,Clear,Thursday,Yes,National Holiday,25,40,National Holiday,West,Private
11-10-2024,01:33:00,"Taj Mahal, Agra",22152,Sunny,Friday,Yes,Cultural Event,20,40,National Holiday,East,Private
12-10-2024,13:23:00,"Red Fort, Delhi",24059,Cloudy,Saturday,Yes,Festival,24,40,National Holiday,West,Walking
13-10-2024,10:25:00,"India Gate, Delhi",50000,Rainy,Sunday,No,National Holiday,30,41,N/A,East,Public
14-10-2024,22:09:00,"Sanchi Stupa, Madhya Pradesh",500,Rainy,Monday,No,Cultural Event,24,41,N/A,West,Private
15-10-2024,17:07:00,"India Gate, Delhi",43840,Rainy,Tuesday,No,National Holiday,26,41,N/A,East,Public
16-10-2024,22:53:00,"Sanchi Stupa, Madhya Pradesh",582,Rainy,Wednesday,No,Regular Day,34,41,N/A,South,Walking
17-10-2024,12:34:00,"Mecca Masjid, Hyderabad",9975,Rainy,Thursday,Yes,National Holiday,25,41,National Holiday,North,Private
18-10-2024,21:24:00,"Qutub Minar, Delhi",10000,Sunny,Friday,No,Regular Day,23,41,N/A,North,Public
19-10-2024,10:20:00,"Mecca Masjid, Hyderabad",15346,Cloudy,Saturday,No,Festival,23,41,N/A,East,Walking
20-10-2024,12:15:00,"Taj Mahal, Agra",35661,Sunny,Sunday,Yes,National Holiday,35,42,National Holiday,North,Public
21-10-2024,11:51:00,"India Gate, Delhi",33326,Cloudy,Monday,No,Festival,22,42,N/A,South,Private
22-10-2024,14:56:00,"Gateway of India, Mumbai",26752,Clear,Tuesday,No,National Holiday,28,42,N/A,Central,Walking
23-10-2024,21:28:00,"Varanasi Ghats, Varanasi",23105,Sunny,Wednesday,No,Festival,36,42,N/A,North,Public
24-10-2024,02:26:00,"Gateway of India, Mumbai",13413,Cloudy,Thursday,No,Cultural Event,27,42,N/A,Central,Private
25-10-2024,04:18:00,"Qutub Minar, Delhi",6321,Cloudy,Friday,No,Cultural Event,33,42,N/A,East,Walking
26-10-2024,04:46:00,"Sanchi Stupa, Madhya Pradesh",13713,Cloudy,Saturday,No,National Holiday,28,42,N/A,North,Walking
27-10-2024,01:24:00,"Qutub Minar, Delhi",10785,Rainy,Sunday,No,Cultural Event,27,43,N/A,West,Public
28-10-2024,16:52:00,"Sanchi Stupa, Madhya Pradesh",500,Clear,Monday,No,Regular Day,24,43,N/A,Central,Public
29-10-2024,01:49:00,"Varanasi Ghats, Varanasi",16259,Sunny,Tuesday,No,Festival,25,43,N/A,East,Walking
30-10-2024,08:30:00,"Gateway of India, Mumbai",13476,Rainy,Wednesday,No,Regular Day,35,43,N/A,Central,Private
31-10-2024,07:41:00,"Taj Mahal, Agra",20344,Clear,Thursday,Yes,Cultural Event,27,43,National Holiday,Central,Public
01-11-2024,06:10:00,"Sanchi Stupa, Madhya Pradesh",14489,Sunny,Friday,No,Festival,39,43,N/A,East,Private
02-11-2024,11:47:00,"Qutub Minar, Delhi",11652,Cloudy,Saturday,Yes,Cultural Event,29,43,National Holiday,South,Private
03-11-2024,22:08:00,"Sanchi Stupa, Madhya Pradesh",21232,Cloudy,Sunday,Yes,National Holiday,33,44,National Holiday,South,Public
04-11-2024,15:08:00,"Gateway of India, Mumbai",27234,Rainy,Monday,No,National Holiday,26,44,N/A,East,Walking
05-11-2024,21:05:00,"Taj Mahal, Agra",17458,Cloudy,Tuesday,No,Regular Day,22,44,N/A,South,Public
06-11-2024,09:21:00,"Gateway of India, Mumbai",32968,Clear,Wednesday,No,Festival,33,44,N/A,West,Walking
07-11-2024,06:31:00,"Qutub Minar, Delhi",12596,Cloudy,Thursday,Yes,Cultural Event,21,44,National Holiday,Central,Walking
08-11-2024,01:43:00,"Qutub Minar, Delhi",18422,Sunny,Friday,No,Festival,26,44,N/A,South,Walking
09-11-2024,23:53:00,"Mecca Masjid, Hyderabad",5294,Rainy,Saturday,No,Cultural Event,23,44,N/A,Central,Public
10-11-2024,06:16:00,"Taj Mahal, Agra",22371,Cloudy,Sunday,No,Cultural Event,32,45,N/A,Central,Public
11-11-2024,17:39:00,"Varanasi Ghats, Varanasi",7761,Rainy,Monday,No,Regular Day,32,45,N/A,West,Walking
12-11-2024,06:31:00,"Red Fort, Delhi",6779,Cloudy,Tuesday,No,Cultural Event,25,45,N/A,South,Walking
13-11-2024,05:22:00,"Mecca Masjid, Hyderabad",3000,Clear,Wednesday,No,Regular Day,24,45,N/A,Central,Private
14-11-2024,11:24:00,"Taj Mahal, Agra",15505,Cloudy,Thursday,No,Cultural Event,36,45,N/A,Central,Private
15-11-2024,07:40:00,"Varanasi Ghats, Varanasi",18583,Sunny,Friday,Yes,National Holiday,23,45,National Holiday,Central,Walking
16-11-2024,15:35:00,"Red Fort, Delhi",8586,Rainy,Saturday,No,Cultural Event,24,45,N/A,North,Private
17-11-2024,13:01:00,"Varanasi Ghats, Varanasi",29212,Sunny,Sunday,No,Festival,32,46,N/A,East,Private
18-11-2024,08:22:00,"Sanchi Stupa, Madhya Pradesh",6626,Rainy,Monday,No,National Holiday,39,46,N/A,Central,Private
19-11-2024,19:19:00,"Qutub Minar, Delhi",12472,Rainy,Tuesday,No,National Holiday,26,46,N/A,Central,Public
20-11-2024,16:09:00,"India Gate, Delhi",47644,Clear,Wednesday,No,Festival,21,46,N/A,East,Private
21-11-2024,10:39:00,"Red Fort, Delhi",6953,Cloudy,Thursday,No,Regular Day,22,46,N/A,Central,Walking
22-11-2024,23:42:00,"Taj Mahal, Agra",19135,Cloudy,Friday,No,Regular Day,33,46,N/A,South,Public
23-11-2024,09:14:00,"Mecca Masjid, Hyderabad",4583,Cloudy,Saturday,No,Cultural Event,39,46,N/A,South,Walking
24-11-2024,07:33:00,"Qutub Minar, Delhi",28822,Sunny,Sunday,Yes,Festival,38,47,National Holiday,South,Walking
25-11-2024,06:56:00,"Taj Mahal, Agra",17542,Cloudy,Monday,No,Regular Day,38,47,N/A,Central,Private
26-11-2024,20:18:00,"Sanchi Stupa, Madhya Pradesh",2000,Clear,Tuesday,No,Regular Day,25,47,N/A,Central,Private
27-11-2024,23:00:00,"Qutub Minar, Delhi",25814,Sunny,Wednesday,No,National Holiday,24,47,N/A,Central,Walking
28-11-2024,23:31:00,"Qutub Minar, Delhi",15496,Sunny,Thursday,No,Festival,24,47,N/A,Central,Private
29-11-2024,07:13:00,"Varanasi Ghats, Varanasi",18185,Clear,Friday,No,National Holiday,28,47,N/A,North,Public
30-11-2024,17:56:00,"India Gate, Delhi",33413,Sunny,Saturday,No,Regular Day,32,47,N/A,North,Private
01-12-2024,09:34:00,"Taj Mahal, Agra",31393,Sunny,Sunday,No,National Holiday,37,48,N/A,South,Public
02-12-2024,06:05:00,"Varanasi Ghats, Varanasi",7833,Rainy,Monday,No,Cultural Event,32,48,N/A,West,Walking
03-12-2024,14:07:00,"Gateway of India, Mumbai",27715,Rainy,Tuesday,No,National Holiday,30,48,N/A,North,Private
04-12-2024,14:35:00,"Red Fort, Delhi",16889,Cloudy,Wednesday,No,Festival,29,48,N/A,Central,Public
05-12-2024,19:19:00,"Taj Mahal, Agra",18167,Cloudy,Thursday,No,Regular Day,39,48,N/A,South,Private
06-12-2024,03:44:00,"Taj Mahal, Agra",33923,Cloudy,Friday,No,National Holiday,29,48,N/A,East,Walking
07-12-2024,11:56:00,"Mecca Masjid, Hyderabad",18746,Rainy,Saturday,No,Festival,34,48,N/A,West,Private
08-12-2024,17:28:00,"Varanasi Ghats, Varanasi",11159,Rainy,Sunday,No,Regular Day,27,49,N/A,North,Public
09-12-2024,03:17:00,"Sanchi Stupa, Madhya Pradesh",13728,Rainy,Monday,No,Festival,27,49,N/A,West,Private
10-12-2024,16:15:00,"Varanasi Ghats, Varanasi",13474,Rainy,Tuesday,No,Festival,33,49,N/A,South,Public
11-12-2024,03:15:00,"India Gate, Delhi",28079,Cloudy,Wednesday,No,Regular Day,23,49,N/A,West,Walking
12-12-2024,19:43:00,"Taj Mahal, Agra",18229,Rainy,Thursday,No,Cultural Event,25,49,N/A,West,Private
13-12-2024,07:06:00,"Mecca Masjid, Hyderabad",10267,Clear,Friday,No,National Holiday,26,49,N/A,South,Walking
14-12-2024,14:43:00,"Red Fort, Delhi",29397,Clear,Saturday,No,National Holiday,39,49,N/A,East,Walking
15-12-2024,17:59:00,"Qutub Minar, Delhi",28019,Sunny,Sunday,No,National Holiday,25,50,N/A,Central,Private
16-12-2024,18:22:00,"Gateway of India, Mumbai",24898,Sunny,Monday,No,National Holiday,29,50,N/A,West,Walking
17-12-2024,00:36:00,"Gateway of India, Mumbai",29027,Rainy,Tuesday,No,Festival,30,50,N/A,North,Private
18-12-2024,15:56:00,"Taj Mahal, Agra",31841,Rainy,Wednesday,No,Festival,24,50,N/A,West,Public
19-12-2024,16:12:00,"Mecca Masjid, Hyderabad",3000,Clear,Thursday,No,Cultural Event,30,50,N/A,West,Public
20-12-2024,21:54:00,"Sanchi Stupa, Madhya Pradesh",500,Sunny,Friday,No,Regular Day,31,50,N/A,East,Public
21-12-2024,16:40:00,"Qutub Minar, Delhi",12776,Clear,Saturday,No,Cultural Event,23,50,N/A,South,Walking
22-12-2024,02:14:00,"Sanchi Stupa, Madhya Pradesh",11818,Sunny,Sunday,No,Festival,26,51,N/A,West,Walking
23-12-2024,17:20:00,"Sanchi Stupa, Madhya Pradesh",2000,Sunny,Monday,No,Regular Day,33,51,N/A,South,Private
24-12-2024,02:37:00,"Gateway of India, Mumbai",27302,Sunny,Tuesday,Yes,Festival,36,51,National Holiday,West,Public
25-12-2024,01:27:00,"Mecca Masjid, Hyderabad",6004,Sunny,Wednesday,Yes,Cultural Event,29,51,National Holiday,East,Walking
26-12-2024,23:34:00,"Qutub Minar, Delhi",9016,Cloudy,Thursday,No,Cultural Event,24,51,N/A,North,Public
27-12-2024,09:14:00,"Varanasi Ghats, Varanasi",8880,Rainy,Friday,No,Cultural Event,32,51,N/A,North,Private
28-12-2024,09:19:00,"Gateway of India, Mumbai",13012,Rainy,Saturday,No,Cultural Event,29,51,N/A,North,Private
29-12-2024,03:22:00,"Mecca Masjid, Hyderabad",4298,Sunny,Sunday,No,Regular Day,36,52,N/A,East,Public
30-12-2024,17:54:00,"Red Fort, Delhi",18884,Rainy,Monday,No,National Holiday,24,52,N/A,East,Walking
31-12-2024,06:17:00,"Red Fort, Delhi",5571,Rainy,Tuesday,No,Regular Day,20,52,N/A,East,Private
01-01-2025,07:23:00,"Mecca Masjid, Hyderabad",1131,Sunny,Wednesday,No,Cultural Event,30,0,N/A,East,Walking
02-01-2025,20:23:00,"Mecca Masjid, Hyderabad",3000,Sunny,Thursday,No,Cultural Event,26,0,N/A,East,Public
03-01-2025,09:50:00,"India Gate, Delhi",46113,Sunny,Friday,No,National Holiday,29,0,N/A,North,Public
04-01-2025,02:18:00,"Mecca Masjid, Hyderabad",2227,Rainy,Saturday,No,Regular Day,37,0,N/A,North,Private
05-01-2025,10:41:00,"Sanchi Stupa, Madhya Pradesh",3089,Sunny,Sunday,No,Regular Day,27,1,N/A,East,Walking
06-01-2025,19:13:00,"Red Fort, Delhi",8000,Clear,Monday,No,Cultural Event,26,1,N/A,North,Public
07-01-2025,15:51:00,"Taj Mahal, Agra",38128,Clear,Tuesday,No,Festival,36,1,N/A,South,Walking
08-01-2025,01:19:00,"Sanchi Stupa, Madhya Pradesh",21816,Sunny,Wednesday,No,National Holiday,28,1,N/A,West,Private
09-01-2025,08:03:00,"Qutub Minar, Delhi",20348,Cloudy,Thursday,No,Festival,28,1,N/A,North,Public
10-01-2025,08:59:00,"Mecca Masjid, Hyderabad",22759,Clear,Friday,No,National Holiday,28,1,N/A,North,Public
11-01-2025,01:30:00,"Gateway of India, Mumbai",27335,Clear,Saturday,No,Festival,26,1,N/A,Central,Walking
12-01-2025,14:18:00,"Qutub Minar, Delhi",14199,Clear,Sunday,No,Cultural Event,29,2,N/A,West,Walking
13-01-2025,21:22:00,"Red Fort, Delhi",4995,Rainy,Monday,No,Regular Day,21,2,N/A,East,Private
14-01-2025,14:28:00,"Taj Mahal, Agra",30750,Cloudy,Tuesday,No,Festival,25,2,N/A,Central,Private
15-01-2025,04:29:00,"Sanchi Stupa, Madhya Pradesh",19051,Clear,Wednesday,No,Festival,24,2,N/A,North,Private
16-01-2025,18:06:00,"Taj Mahal, Agra",31161,Cloudy,Thursday,No,National Holiday,38,2,N/A,Central,Public
17-01-2025,04:45:00,"Mecca Masjid, Hyderabad",3000,Sunny,Friday,No,Cultural Event,38,2,N/A,South,Public
18-01-2025,01:32:00,"Varanasi Ghats, Varanasi",11772,Clear,Saturday,No,Regular Day,25,2,N/A,Central,Public
19-01-2025,13:54:00,"Qutub Minar, Delhi",13524,Sunny,Sunday,No,Regular Day,22,3,N/A,South,Public
20-01-2025,03:16:00,"Varanasi Ghats, Varanasi",18206,Cloudy,Monday,No,National Holiday,30,3,N/A,East,Public
21-01-2025,08:09:00,"Taj Mahal, Agra",16027,Rainy,Tuesday,No,Regular Day,34,3,N/A,Central,Walking
22-01-2025,00:17:00,"Qutub Minar, Delhi",22976,Cloudy,Wednesday,No,National Holiday,24,3,N/A,South,Walking
23-01-2025,22:50:00,"Taj Mahal, Agra",18622,Clear,Thursday,No,Cultural Event,23,3,N/A,East,Public
24-01-2025,07:02:00,"Sanchi Stupa, Madhya Pradesh",9943,Sunny,Friday,No,National Holiday,31,3,N/A,South,Walking
25-01-2025,09:02:00,"Red Fort, Delhi",26343,Cloudy,Saturday,No,National Holiday,39,3,N/A,West,Public
26-01-2025,10:43:00,"Gateway of India, Mumbai",26415,Cloudy,Sunday,No,National Holiday,31,4,N/A,West,Walking
27-01-2025,11:04:00,"Taj Mahal, Agra",20000,Clear,Monday,No,Regular Day,36,4,N/A,North,Private
28-01-2025,17:09:00,"Qutub Minar, Delhi",10000,Clear,Tuesday,No,Cultural Event,37,4,N/A,North,Private
29-01-2025,06:51:00,"Gateway of India, Mumbai",24347,Clear,Wednesday,No,National Holiday,35,4,N/A,North,Private
30-01-2025,11:15:00,"Red Fort, Delhi",8000,Sunny,Thursday,No,Cultural Event,20,4,N/A,North,Private
31-01-2025,04:27:00,"Gateway of India, Mumbai",13582,Rainy,Friday,No,Cultural Event,20,4,N/A,South,Walking
01-02-2025,05:48:00,"Mecca Masjid, Hyderabad",2089,Rainy,Saturday,No,Regular Day,33,4,N/A,Central,Public
02-02-2025,04:14:00,"Red Fort, Delhi",17314,Rainy,Sunday,No,Festival,35,5,N/A,North,Walking
03-02-2025,21:31:00,"Qutub Minar, Delhi",8649,Rainy,Monday,No,Cultural Event,39,5,N/A,North,Public
04-02-2025,01:07:00,"Varanasi Ghats, Varanasi",10000,Clear,Tuesday,No,Cultural Event,32,5,N/A,West,Private
05-02-2025,20:48:00,"Qutub Minar, Delhi",8964,Cloudy,Wednesday,No,Cultural Event,24,5,N/A,West,Walking
06-02-2025,19:56:00,"Red Fort, Delhi",5603,Clear,Thursday,No,Regular Day,28,5,N/A,West,Public
07-02-2025,20:13:00,"Varanasi Ghats, Varanasi",15311,Sunny,Friday,No,Festival,25,5,N/A,South,Private
08-02-2025,17:40:00,"Sanchi Stupa, Madhya Pradesh",2412,Rainy,Saturday,No,Regular Day,23,5,N/A,West,Private
09-02-2025,11:07:00,"Varanasi Ghats, Varanasi",23059,Cloudy,Sunday,No,Festival,20,6,N/A,North,Walking
10-02-2025,11:58:00,"India Gate, Delhi",39443,Rainy,Monday,No,Festival,26,6,N/A,South,Public
11-02-2025,09:34:00,"Taj Mahal, Agra",20000,Clear,Tuesday,No,Cultural Event,23,6,N/A,West,Private
12-02-2025,13:57:00,"Qutub Minar, Delhi",16784,Cloudy,Wednesday,No,National Holiday,25,6,N/A,West,Public
13-02-2025,09:07:00,"Taj Mahal, Agra",18333,Rainy,Thursday,No,Cultural Event,33,6,N/A,West,Walking
14-02-2025,19:08:00,"Taj Mahal, Agra",36850,Sunny,Friday,No,Festival,29,6,N/A,South,Walking
15-02-2025,21:11:00,"Red Fort, Delhi",12825,Clear,Saturday,No,Regular Day,26,6,N/A,North,Walking
16-02-2025,23:20:00,"Mecca Masjid, Hyderabad",16071,Cloudy,Sunday,No,National Holiday,20,7,N/A,South,Walking
17-02-2025,12:09:00,"Mecca Masjid, Hyderabad",18641,Cloudy,Monday,No,National Holiday,28,7,N/A,North,Walking
18-02-2025,11:44:00,"Qutub Minar, Delhi",7523,Rainy,Tuesday,No,Regular Day,27,7,N/A,West,Private
19-02-2025,03:51:00,"Red Fort, Delhi",6576,Cloudy,Wednesday,No,Regular Day,38,7,N/A,West,Public
20-02-2025,14:44:00,"Red Fort, Delhi",13558,Clear,Thursday,No,National Holiday,20,7,N/A,East,Public
21-02-2025,21:20:00,"India Gate, Delhi",44228,Rainy,Friday,No,National Holiday,21,7,N/A,Central,Walking
22-02-2025,00:48:00,"Taj Mahal, Agra",42966,Sunny,Saturday,No,Festival,22,7,N/A,West,Walking
23-02-2025,13:36:00,"Qutub Minar, Delhi",11064,Rainy,Sunday,No,Regular Day,23,8,N/A,South,Public
24-02-2025,21:20:00,"Gateway of India, Mumbai",12610,Cloudy,Monday,No,Cultural Event,39,8,N/A,Central,Walking
25-02-2025,00:55:00,"India Gate, Delhi",27434,Rainy,Tuesday,No,Cultural Event,27,8,N/A,East,Walking
26-02-2025,08:45:00,"Mecca Masjid, Hyderabad",13559,Cloudy,Wednesday,No,Festival,36,8,N/A,North,Private
27-02-2025,12:47:00,"India Gate, Delhi",37827,Sunny,Thursday,No,National Holiday,29,8,N/A,East,Private
28-02-2025,15:29:00,"Varanasi Ghats, Varanasi",8418,Rainy,Friday,No,Regular Day,38,8,N/A,South,Public
01-03-2025,09:40:00,"India Gate, Delhi",34708,Clear,Saturday,No,Cultural Event,25,8,N/A,South,Public
02-03-2025,00:53:00,"Sanchi Stupa, Madhya Pradesh",13312,Clear,Sunday,No,Festival,20,9,N/A,North,Walking
03-03-2025,21:12:00,"Mecca Masjid, Hyderabad",1690,Sunny,Monday,No,Cultural Event,35,9,N/A,North,Walking
04-03-2025,22:39:00,"Red Fort, Delhi",23991,Sunny,Tuesday,No,Festival,30,9,N/A,South,Walking
05-03-2025,22:36:00,"Sanchi Stupa, Madhya Pradesh",14898,Clear,Wednesday,No,National Holiday,29,9,N/A,South,Private
06-03-2025,03:28:00,"Sanchi Stupa, Madhya Pradesh",5106,Cloudy,Thursday,No,Festival,24,9,N/A,East,Public
07-03-2025,21:03:00,"Varanasi Ghats, Varanasi",14920,Cloudy,Friday,No,National Holiday,23,9,N/A,West,Walking
08-03-2025,08:26:00,"Mecca Masjid, Hyderabad",4654,Sunny,Saturday,No,Regular Day,29,9,N/A,West,Walking
09-03-2025,23:59:00,"Taj Mahal, Agra",22930,Clear,Sunday,No,Cultural Event,32,10,N/A,West,Walking
10-03-2025,20:44:00,"Taj Mahal, Agra",20000,Clear,Monday,No,Regular Day,22,10,N/A,Central,Walking
11-03-2025,05:17:00,"Qutub Minar, Delhi",10000,Sunny,Tuesday,No,Cultural Event,27,10,N/A,North,Walking
12-03-2025,13:13:00,"Red Fort, Delhi",18059,Rainy,Wednesday,No,Festival,33,10,N/A,East,Walking
13-03-2025,20:58:00,"India Gate, Delhi",27178,Sunny,Thursday,No,Cultural Event,27,10,N/A,North,Private
14-03-2025,20:40:00,"Varanasi Ghats, Varanasi",8728,Rainy,Friday,No,Cultural Event,28,10,N/A,Central,Private
15-03-2025,17:24:00,"Taj Mahal, Agra",21934,Rainy,Saturday,No,Regular Day,21,10,N/A,North,Private
16-03-2025,23:17:00,"Gateway of India, Mumbai",19249,Cloudy,Sunday,No,Cultural Event,38,11,N/A,East,Public
17-03-2025,08:57:00,"Varanasi Ghats, Varanasi",10000,Sunny,Monday,No,Cultural Event,32,11,N/A,Central,Public
18-03-2025,11:48:00,"India Gate, Delhi",46471,Clear,Tuesday,No,Festival,31,11,N/A,North,Private
